2023-02-21 16:04:54,291 [main] INFO  c.d.C.CharacterDndBotApplication:55 - Starting CharacterDndBotApplication using Java 19.0.2 on DESKTOP-AMOLT9P with PID 11160 (C:\Users\ALTRON\git\CharacterDndBot\CharacterDndBot\target\classes started by ALTRON in C:\Users\ALTRON\git\CharacterDndBot\CharacterDndBot)
2023-02-21 16:04:54,296 [main] DEBUG c.d.C.CharacterDndBotApplication:56 - Running with Spring Boot v2.7.8, Spring v5.3.25
2023-02-21 16:04:54,297 [main] INFO  c.d.C.CharacterDndBotApplication:631 - No active profile set, falling back to 1 default profile: "default"
2023-02-21 16:04:55,704 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2023-02-21 16:04:55,718 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-02-21 16:04:55,852 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport:349 - Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.dnd.CharacterDndBot.config.ObjectDndRepository; If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository
2023-02-21 16:04:55,864 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport:349 - Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.dnd.CharacterDndBot.repository.ClassDndWrappRepository; If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository
2023-02-21 16:04:55,869 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport:349 - Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.dnd.CharacterDndBot.repository.RaceDndWrappRepository; If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository
2023-02-21 16:04:55,955 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 222 ms. Found 1 JPA repository interfaces.
2023-02-21 16:04:56,034 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2023-02-21 16:04:56,034 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-02-21 16:04:56,103 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport:349 - Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.dnd.CharacterDndBot.repository.UserFileRepository; If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository
2023-02-21 16:04:56,171 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 136 ms. Found 3 MongoDB repository interfaces.
2023-02-21 16:04:57,161 [main] INFO  o.h.jpa.internal.util.LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-02-21 16:04:57,311 [main] INFO  org.hibernate.Version:44 - HHH000412: Hibernate ORM core version 5.6.14.Final
2023-02-21 16:04:58,062 [main] INFO  o.h.annotations.common.Version:56 - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-02-21 16:04:58,666 [main] INFO  com.zaxxer.hikari.HikariDataSource:110 - HikariPool-1 - Starting...
2023-02-21 16:05:03,905 [main] INFO  com.zaxxer.hikari.HikariDataSource:123 - HikariPool-1 - Start completed.
2023-02-21 16:05:04,001 [main] INFO  org.hibernate.dialect.Dialect:175 - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2023-02-21 16:05:12,861 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-02-21 16:05:12,970 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean:437 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-02-21 16:05:20,378 [cluster-ClusterId{value='63f4cfa0f9207a5a61bdaa8e', description='null'}-srv-cluster0.sazojlo.mongodb.net] INFO  org.mongodb.driver.cluster:71 - Adding discovered server ac-vxmqfo7-shard-00-00.sazojlo.mongodb.net:27017 to client view of cluster
